"replication","truth_id","truth_structure","alpha","k_deviation","quadrature_points","rpe_dev","integrated_squared_error","integrated_squared_deviation","basis_rank","centred_deviation_max_abs"
7,"coordinate_a90","coordinate",0.9,15,4001,0.00400688997124716,0.000129086070642176,8.04015733371211,15,4.05231403988182e-17
7,"cluster_a50","cluster",0.5,15,4001,0.00374182097365359,0.000129083479502252,9.21944236223528,15,9.29811783123569e-17
7,"cluster_a90","cluster",0.9,15,4001,0.00359420546111256,0.000129081662514379,9.99214553375926,15,1.33226762955019e-16
8,"coordinate_a50","coordinate",0.5,15,4001,0.0039319967782823,0.000129085618329773,8.34932858239325,15,5.6170346152129e-17
8,"coordinate_a90","coordinate",0.9,15,4001,0.00392547224709518,0.00012908551203782,8.3770996042739,15,4.24660306919122e-17
8,"cluster_a50","cluster",0.5,15,4001,0.00372402718559681,0.000129083801982597,9.30777900080123,15,1.29896093881143e-16
8,"cluster_a90","cluster",0.9,15,4001,0.00359103306965725,0.000129081727010448,10.0098128614724,15,1.3988810110277e-16
9,"coordinate_a50","coordinate",0.5,15,4001,0.00397598588899886,0.000129086292084895,8.16564429052787,15,5.21804821573824e-17
9,"coordinate_a90","coordinate",0.9,15,4001,0.00396936130614449,0.000129085565549485,8.19287668616344,15,4.34374758384592e-17
9,"cluster_a50","cluster",0.5,15,4001,0.00376531022228362,0.000129082994753189,9.10473910960792,15,1.0991207943789e-16
9,"cluster_a90","cluster",0.9,15,4001,0.00359833713908852,0.000129081565564566,9.96920488323379,15,1.24344978758018e-16
10,"coordinate_a50","coordinate",0.5,15,4001,0.00385311302156887,0.00012908428299152,8.69460527785245,15,3.71924713249427e-17
10,"coordinate_a90","coordinate",0.9,15,4001,0.00391445470004705,0.000129085047585606,8.42429169450739,15,3.5527136788005e-17
10,"cluster_a50","cluster",0.5,15,4001,0.00377085728228188,0.000129083705125948,9.07802200476119,15,1.14352971536391e-16
10,"cluster_a90","cluster",0.9,15,4001,0.003599303848926,0.000129081707639118,9.96386146226444,15,1.28785870856518e-16
11,"coordinate_a50","coordinate",0.5,15,4001,0.00392143585284808,0.00012908463943273,8.39429708971662,15,4.9960036108132e-17
11,"coordinate_a90","coordinate",0.9,15,4001,0.00392586004209473,0.000129085152081016,8.37542135737821,15,4.16333634234434e-17
11,"cluster_a50","cluster",0.5,15,4001,0.00374157450867331,0.000129083623132077,9.22066726810422,15,1.17128529097954e-16
11,"cluster_a90","cluster",0.9,15,4001,0.00359416180160627,0.000129081691240344,9.99239051493305,15,1.11022302462516e-16
12,"coordinate_a50","coordinate",0.5,15,4001,0.0039635743343746,0.000129082966172567,8.21665252361517,15,5.25968157916168e-17
12,"coordinate_a90","coordinate",0.9,15,4001,0.00394955729882171,0.000129084340620787,8.27516616330018,15,4.31946145518225e-17
12,"cluster_a50","cluster",0.5,15,4001,0.00372952917324315,0.000129084786233202,9.28040741889405,15,9.76996261670138e-17
12,"cluster_a90","cluster",0.9,15,4001,0.00359201817050496,0.000129081923860569,10.004338545091,15,1.37667655053519e-16
13,"coordinate_a50","coordinate",0.5,15,4001,0.00396568398535892,0.000129085584833438,8.20807922663131,15,4.94049245958195e-17
13,"coordinate_a90","coordinate",0.9,15,4001,0.00397023276306422,0.000129085726051459,8.18929062823785,15,3.33066907387547e-17
13,"cluster_a50","cluster",0.5,15,4001,0.0037431464349804,0.000129083522501388,9.21291731320098,15,1.0325074129014e-16
13,"cluster_a90","cluster",0.9,15,4001,0.00359444031186116,0.000129081671114206,9.9908405239524,15,1.24344978758018e-16
14,"coordinate_a50","coordinate",0.5,15,4001,0.00392168382551892,0.000129085109661323,8.39326613558311,15,4.35762537165374e-17
14,"coordinate_a90","coordinate",0.9,15,4001,0.00393927071665071,0.000129085113096135,8.31849010398007,15,3.58393870136808e-17
14,"cluster_a50","cluster",0.5,15,4001,0.00369991670247742,0.000129082755790446,9.42940599171613,15,1.15463194561016e-16
14,"cluster_a90","cluster",0.9,15,4001,0.0035866747156622,0.000129081517772018,10.0341382596554,15,1.3988810110277e-16
15,"coordinate_a50","coordinate",0.5,15,4001,0.00398408902670385,0.000129086863062347,8.13249824663183,15,4.00374178255447e-17
15,"coordinate_a90","coordinate",0.9,15,4001,0.00397328967933728,0.000129085461201395,8.17667756628148,15,4.17721413015215e-17
15,"cluster_a50","cluster",0.5,15,4001,0.00369348808143741,0.00012908400938074,9.46235074904175,15,1.21985754830689e-16
15,"cluster_a90","cluster",0.9,15,4001,0.00358550117624261,0.000129081768490076,10.0407272111206,15,1.35447209004269e-16
16,"coordinate_a50","coordinate",0.5,15,4001,0.00406831298057442,0.000129085041263998,7.79914877937509,15,4.44089209850063e-17
16,"coordinate_a90","coordinate",0.9,15,4001,0.00399943111920571,0.000129085422673845,8.0701342260683,15,4.27435864480685e-17
16,"cluster_a50","cluster",0.5,15,4001,0.00374611734073054,0.000129083484616719,9.19830756678176,15,1.31561428418081e-16
