"replication","truth_id","truth_structure","alpha","snr_overall_sigma_0_2","snr_dev_sigma_0_2","snr_overall_sigma_0_5","snr_dev_sigma_0_5","overall_ratio","deviation_ratio","overall_ratio_pass","deviation_ratio_pass"
36,"cluster_a90","cluster",0.9,13.8560992025398,9.99734920253977,2.21697587240636,1.59957587240636,6.25,6.25,TRUE,TRUE
36,"coordinate_a50","coordinate",0.5,11.9661448691308,8.10739486913077,1.91458317906092,1.29718317906092,6.25,6.25,TRUE,TRUE
36,"coordinate_a90","coordinate",0.9,12.0525650744593,8.19381507445932,1.92841041191349,1.31101041191349,6.25,6.25,TRUE,TRUE
37,"cluster_a50","cluster",0.5,12.9209891065514,9.06223910655142,2.06735825704823,1.44995825704823,6.25,6.25,TRUE,TRUE
37,"cluster_a90","cluster",0.9,13.7844894854188,9.92573948541876,2.205518317667,1.588118317667,6.25,6.25,TRUE,TRUE
37,"coordinate_a50","coordinate",0.5,12.2116856876042,8.35293568760421,1.95386971001667,1.33646971001667,6.25,6.25,TRUE,TRUE
37,"coordinate_a90","coordinate",0.9,12.1795225418228,8.32077254182282,1.94872360669165,1.33132360669165,6.25,6.25,TRUE,TRUE
38,"cluster_a50","cluster",0.5,13.1962565842981,9.33750658429812,2.1114010534877,1.4940010534877,6.25,6.25,TRUE,TRUE
38,"cluster_a90","cluster",0.9,13.8395429809681,9.9807929809681,2.2143268769549,1.5969268769549,6.25,6.25,TRUE,TRUE
38,"coordinate_a50","coordinate",0.5,12.1968618331582,8.33811183315818,1.95149789330531,1.33409789330531,6.25,6.25,TRUE,TRUE
38,"coordinate_a90","coordinate",0.9,12.1466225772809,8.2878725772809,1.94345961236494,1.32605961236494,6.25,6.25,TRUE,TRUE
39,"cluster_a50","cluster",0.5,13.0358057750505,9.17705577505053,2.08572892400808,1.46832892400808,6.25,6.25,TRUE,TRUE
39,"cluster_a90","cluster",0.9,13.8074528191186,9.94870281911858,2.20919245105897,1.59179245105897,6.25,6.25,TRUE,TRUE
39,"coordinate_a50","coordinate",0.5,12.1595598026119,8.30080980261186,1.9455295684179,1.3281295684179,6.25,6.25,TRUE,TRUE
39,"coordinate_a90","coordinate",0.9,12.2278072289874,8.36905722898737,1.95644915663798,1.33904915663798,6.25,6.25,TRUE,TRUE
4,"cluster_a50","cluster",0.5,13.0716472851532,9.21289728515324,2.09146356562452,1.47406356562452,6.25,6.25,TRUE,TRUE
4,"cluster_a90","cluster",0.9,13.8146211211391,9.95587112113912,2.21033937938226,1.59293937938226,6.25,6.25,TRUE,TRUE
4,"coordinate_a50","coordinate",0.5,11.7998655816676,7.94111558166759,1.88797849306681,1.27057849306681,6.25,6.25,TRUE,TRUE
4,"coordinate_a90","coordinate",0.9,11.942562648264,8.08381264826401,1.91081002372224,1.29341002372224,6.25,6.25,TRUE,TRUE
40,"cluster_a50","cluster",0.5,13.0683074597846,9.20955745978465,2.09092919356554,1.47352919356554,6.25,6.25,TRUE,TRUE
40,"cluster_a90","cluster",0.9,13.8139531560654,9.9552031560654,2.21023250497046,1.59283250497046,6.25,6.25,TRUE,TRUE
40,"coordinate_a50","coordinate",0.5,12.1109649952814,8.25221499528142,1.93775439924503,1.32035439924503,6.25,6.25,TRUE,TRUE
40,"coordinate_a90","coordinate",0.9,12.061387934893,8.20263793489301,1.92982206958288,1.31242206958288,6.25,6.25,TRUE,TRUE
41,"cluster_a50","cluster",0.5,13.0715824087169,9.21283240871693,2.09145318539471,1.47405318539471,6.25,6.25,TRUE,TRUE
41,"cluster_a90","cluster",0.9,13.8146081458519,9.95585814585186,2.2103373033363,1.5929373033363,6.25,6.25,TRUE,TRUE
41,"coordinate_a50","coordinate",0.5,12.1191130903136,8.2603630903136,1.93905809445018,1.32165809445018,6.25,6.25,TRUE,TRUE
41,"coordinate_a90","coordinate",0.9,12.1468955037632,8.28814550376321,1.94350328060211,1.32610328060211,6.25,6.25,TRUE,TRUE
42,"cluster_a50","cluster",0.5,13.232065130334,9.37331513033396,2.11713042085343,1.49973042085343,6.25,6.25,TRUE,TRUE
42,"cluster_a90","cluster",0.9,13.8467046901753,9.98795469017526,2.21547275042804,1.59807275042804,6.25,6.25,TRUE,TRUE
42,"coordinate_a50","coordinate",0.5,12.0107162319164,8.15196623191638,1.92171459710662,1.30431459710662,6.25,6.25,TRUE,TRUE
42,"coordinate_a90","coordinate",0.9,12.0516514027163,8.19290140271625,1.9282642244346,1.3108642244346,6.25,6.25,TRUE,TRUE
43,"cluster_a50","cluster",0.5,13.3076118877628,9.4488618877628,2.12921790204205,1.51181790204205,6.25,6.25,TRUE,TRUE
43,"cluster_a90","cluster",0.9,13.861814041661,10.003064041661,2.21789024666577,1.60049024666577,6.25,6.25,TRUE,TRUE
43,"coordinate_a50","coordinate",0.5,12.6763684608241,8.81761846082415,2.02821895373186,1.41081895373186,6.25,6.25,TRUE,TRUE
43,"coordinate_a90","coordinate",0.9,12.2748010705752,8.41605107057517,1.96396817129203,1.34656817129203,6.25,6.25,TRUE,TRUE
44,"cluster_a50","cluster",0.5,13.0726958304943,9.21394583049426,2.09163133287908,1.47423133287908,6.25,6.25,TRUE,TRUE
44,"cluster_a90","cluster",0.9,13.8148308302073,9.95608083020733,2.21037293283317,1.59297293283317,6.25,6.25,TRUE,TRUE
44,"coordinate_a50","coordinate",0.5,12.0407167357061,8.18196673570612,1.92651467771298,1.30911467771298,6.25,6.25,TRUE,TRUE
44,"coordinate_a90","coordinate",0.9,12.0449619530085,8.18621195300849,1.92719391248136,1.30979391248136,6.25,6.25,TRUE,TRUE
45,"cluster_a50","cluster",0.5,13.0569759375358,9.19822593753578,2.08911615000573,1.47171615000573,6.25,6.25,TRUE,TRUE
45,"cluster_a90","cluster",0.9,13.8116868516156,9.95293685161563,2.2098698962585,1.5924698962585,6.25,6.25,TRUE,TRUE
45,"coordinate_a50","coordinate",0.5,11.6275123995487,7.76876239954869,1.86040198392779,1.24300198392779,6.25,6.25,TRUE,TRUE
45,"coordinate_a90","coordinate",0.9,11.9560612287555,8.09731122875552,1.91296979660088,1.29556979660088,6.25,6.25,TRUE,TRUE
46,"cluster_a50","cluster",0.5,13.1961502492387,9.33740024923869,2.11138403987819,1.49398403987819,6.25,6.25,TRUE,TRUE
46,"cluster_a90","cluster",0.9,13.8395217139562,9.98077171395621,2.21432347423299,1.59692347423299,6.25,6.25,TRUE,TRUE
46,"coordinate_a50","coordinate",0.5,11.605059183938,7.74630918393801,1.85680946943008,1.23940946943008,6.25,6.25,TRUE,TRUE
46,"coordinate_a90","coordinate",0.9,11.8806312833827,8.02188128338273,1.90090100534124,1.28350100534124,6.25,6.25,TRUE,TRUE
47,"cluster_a50","cluster",0.5,13.2134516593928,9.35470165939279,2.11415226550285,1.49675226550285,6.25,6.25,TRUE,TRUE
47,"cluster_a90","cluster",0.9,13.842981995987,9.98423199598703,2.21487711935792,1.59747711935793,6.25,6.25,TRUE,TRUE
47,"coordinate_a50","coordinate",0.5,12.1393799749047,8.28062997490467,1.94230079598475,1.32490079598475,6.25,6.25,TRUE,TRUE
47,"coordinate_a90","coordinate",0.9,12.1822338644193,8.32348386441931,1.94915741830709,1.33175741830709,6.25,6.25,TRUE,TRUE
48,"cluster_a50","cluster",0.5,12.9679017526116,9.10915175261164,2.07486428041786,1.45746428041786,6.25,6.25,TRUE,TRUE
48,"cluster_a90","cluster",0.9,13.7938720146308,9.9351220146308,2.20701952234093,1.58961952234093,6.25,6.25,TRUE,TRUE
48,"coordinate_a50","coordinate",0.5,12.1408284291603,8.28207842916031,1.94253254866565,1.32513254866565,6.25,6.25,TRUE,TRUE
48,"coordinate_a90","coordinate",0.9,12.1178498278625,8.25909982786246,1.93885597245799,1.32145597245799,6.25,6.25,TRUE,TRUE
49,"cluster_a50","cluster",0.5,13.0323844028275,9.17363440282753,2.0851815044524,1.4677815044524,6.25,6.25,TRUE,TRUE
49,"cluster_a90","cluster",0.9,13.806768544674,9.94801854467398,2.20908296714784,1.59168296714784,6.25,6.25,TRUE,TRUE
49,"coordinate_a50","coordinate",0.5,12.2030996636805,8.3443496636805,1.95249594618888,1.33509594618888,6.25,6.25,TRUE,TRUE
49,"coordinate_a90","coordinate",0.9,12.2233669479055,8.36461694790548,1.95573871166488,1.33833871166488,6.25,6.25,TRUE,TRUE
5,"cluster_a50","cluster",0.5,12.9901897306733,9.13143973067328,2.07843035690772,1.46103035690772,6.25,6.25,TRUE,TRUE
5,"cluster_a90","cluster",0.9,13.7983296102431,9.93957961024313,2.2077327376389,1.5903327376389,6.25,6.25,TRUE,TRUE
5,"coordinate_a50","coordinate",0.5,12.4325384849615,8.57378848496152,1.98920615759384,1.37180615759384,6.25,6.25,TRUE,TRUE
