"replication","truth_id","truth_structure","alpha","sigma","overall_signal_ms","deviation_signal_ms","overall_signal_rms","deviation_signal_rms","snr_overall","snr_dev"
13,"coordinate_a50","coordinate",0.5,0.2,0.482506706050148,0.328156706050148,0.69462702657624,0.572849636510444,12.0626676512537,8.2039176512537
13,"coordinate_a50","coordinate",0.5,0.5,0.482506706050148,0.328156706050148,0.69462702657624,0.572849636510444,1.93002682420059,1.31262682420059
13,"coordinate_a90","coordinate",0.9,0.2,0.481770193240633,0.327420193240633,0.694096674275733,0.572206425375172,12.0442548310158,8.18550483101582
13,"coordinate_a90","coordinate",0.9,0.5,0.481770193240633,0.327420193240633,0.694096674275733,0.572206425375172,1.92708077296253,1.30968077296253
13,"cluster_a50","cluster",0.5,0.2,0.521896352552014,0.367546352552014,0.722423942399484,0.606256012384218,13.0474088138003,9.18865881380034
13,"cluster_a50","cluster",0.5,0.5,0.521896352552014,0.367546352552014,0.722423942399484,0.606256012384218,2.08758541020805,1.47018541020805
13,"cluster_a90","cluster",0.9,0.2,0.552390937074742,0.398040937074742,0.743230070082435,0.630904855802158,13.8097734268685,9.95102342686854
13,"cluster_a90","cluster",0.9,0.5,0.552390937074742,0.398040937074742,0.743230070082435,0.630904855802158,2.20956374829897,1.59216374829897
14,"coordinate_a50","coordinate",0.5,0.2,0.48976603156784,0.33541603156784,0.699832859737123,0.579151130161929,12.244150789196,8.38540078919599
14,"coordinate_a50","coordinate",0.5,0.5,0.48976603156784,0.33541603156784,0.699832859737123,0.579151130161929,1.95906412627136,1.34166412627136
14,"coordinate_a90","coordinate",0.9,0.2,0.486834811427746,0.332484811427746,0.697735488152742,0.576614959420709,12.1708702856936,8.31212028569364
14,"coordinate_a90","coordinate",0.9,0.5,0.486834811427746,0.332484811427746,0.697735488152742,0.576614959420709,1.94733924571098,1.32993924571098
14,"cluster_a50","cluster",0.5,0.2,0.530382706955105,0.376032706955105,0.728273785711874,0.613215057671536,13.2595676738776,9.40081767387762
14,"cluster_a50","cluster",0.5,0.5,0.530382706955105,0.376032706955105,0.728273785711874,0.613215057671536,2.12153082782042,1.50413082782042
14,"cluster_a90","cluster",0.9,0.2,0.55408820795536,0.39973820795536,0.744371014988735,0.632248533375412,13.852205198884,9.993455198884
14,"cluster_a90","cluster",0.9,0.5,0.55408820795536,0.39973820795536,0.744371014988735,0.632248533375412,2.21635283182144,1.59895283182144
15,"coordinate_a50","coordinate",0.5,0.2,0.479543933502336,0.325193933502336,0.692491107164804,0.570257778116472,11.9885983375584,8.1298483375584
15,"coordinate_a50","coordinate",0.5,0.5,0.479543933502336,0.325193933502336,0.692491107164804,0.570257778116472,1.91817573400934,1.30077573400934
